# mux-legs-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-legs-2-t1	down	10000000	95839ad0	49229	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	36.649495	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1224	5021480	99.9%	50.1%	local-recv	dc5330cf	no	0	400.38	206884362	180295634
1	mux-legs-2-t1	down	10000000	f1012467	49229	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.573982	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	4994910	0.1%	49.9%	local-recv	57c570d9	no	58	356.64	94854361	0
2	mux-legs-2-t2	down	10000000	95839ad0	49229	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	36.649495	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1833	5044712	100.0%	50.4%	local-recv	dc5330cf	no	0	400.38	206884362	180295634
2	mux-legs-2-t2	down	10000000	f1012467	49229	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.573982	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	0	4971766	0.0%	49.6%	local-recv	57c570d9	no	58	356.64	94854361	0
3	mux-legs-2-t3	down	10000000	95839ad0	49229	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	36.649495	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1684	5044695	99.5%	50.4%	local-recv	dc5330cf	no	0	400.38	206884362	180295634
3	mux-legs-2-t3	down	10000000	f1012467	49229	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.573982	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	9	4971805	0.5%	49.6%	local-recv	57c570d9	no	58	356.64	94854361	0
4	mux-legs-2-t4	down	10000000	95839ad0	49229	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	36.649495	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1548	7999152	99.0%	79.9%	local-recv	dc5330cf	no	0	400.38	206884362	180295634
4	mux-legs-2-t4	down	10000000	f1012467	49229	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.573982	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	16	2017405	1.0%	20.1%	local-recv	57c570d9	no	58	356.64	94854361	0
5	mux-legs-2-t5	down	10000000	95839ad0	49229	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	36.649495	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1700	5040497	100.0%	50.3%	local-recv	dc5330cf	no	0	400.38	206884362	180295634
5	mux-legs-2-t5	down	10000000	f1012467	49229	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.573982	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	0	4975944	0.0%	49.7%	local-recv	57c570d9	no	58	356.64	94854361	0
