# mux-compose-T2xL2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 21 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
2	mux-compose-T2xL2-t2	down	10000000	fdab37dd	49166	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	161.575	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	37	37	-	-	local-recv	7420f415	no	14	273.19	22331539	4177882
2	mux-compose-T2xL2-t2	down	10000000	50cdb857	49170	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	208.763651	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	74	74	-	-	local-recv	38288b5a	no	10	628.02	5536	5600
2	mux-compose-T2xL2-t2	down	10000000	d33d56d2	49171	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	1951.87	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	42	74	-	-	local-recv	000864b9	no	33	2376.61	5696	5984
3	mux-compose-T2xL2-t3	down	10000000	95839ad0	49164,49167	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	132.601	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1006	2144322	28.9%	17.4%	local-recv	dc5330cf	no	13	1079.72	428565746	116776519
3	mux-compose-T2xL2-t3	down	10000000	f1012467	49164	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.493381	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	72	1638680	2.1%	13.3%	local-recv	57c570d9	no	2310	0	242886125	54226103
3	mux-compose-T2xL2-t3	down	10000000	ac40965a	49165,49169	active	in	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	485.22	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	1877	6099942	54.0%	49.4%	local-recv	3de424e0	no	4	886.08	5440	5472
3	mux-compose-T2xL2-t3	down	10000000	2c4ae7a5	49165,49168	active	in	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	390.514	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	186	2162246	5.3%	17.5%	local-recv	d0b47ec2	no	11	514.55	5600	5856
3	mux-compose-T2xL2-t3	down	10000000	fdab37dd	49166	standby	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	161.575	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	185	149967	5.3%	1.2%	local-recv	7420f415	no	14	273.19	22331539	4177882
3	mux-compose-T2xL2-t3	down	10000000	50cdb857	49170	standby	in	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	208.763651	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	153	153618	4.4%	1.2%	local-recv	38288b5a	no	10	628.02	5536	5600
3	mux-compose-T2xL2-t3	down	10000000	d33d56d2	49171	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	1951.87	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	148	199	-	-	local-recv	000864b9	no	33	2376.61	5696	5984
