# mux-legs-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
7	mux-legs-2-t2	up	10000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10016357	493	100.0%	70.6%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
7	mux-legs-2-t2	up	10000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	205	0.0%	29.4%	local-recv	57c570d9	no	154	439.4	87814624	0
8	mux-legs-2-t3	up	10000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10016502	446755	100.0%	51.6%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
8	mux-legs-2-t3	up	10000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	71	418626	0.0%	48.4%	local-recv	57c570d9	no	154	439.4	87814624	0
9	mux-legs-2-t1	down	50000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	2821	45818714	100.0%	91.1%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
9	mux-legs-2-t1	down	50000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	0	4490996	0.0%	8.9%	local-recv	57c570d9	no	154	439.4	87814624	0
10	mux-legs-2-t2	down	50000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	4724	40511820	98.5%	78.8%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
10	mux-legs-2-t2	down	50000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	71	10923455	1.5%	21.2%	local-recv	57c570d9	no	154	439.4	87814624	0
11	mux-legs-2-t3	down	50000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	9835	25005431	100.0%	49.9%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
11	mux-legs-2-t3	down	50000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	25107417	0.0%	50.1%	local-recv	57c570d9	no	154	439.4	87814624	0
12	mux-legs-2-t4	down	50000000	95839ad0	49179	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	34.068863	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	3892	37537506	97.8%	73.7%	local-recv	dc5330cf	no	0	429.55	215667689	180297892
12	mux-legs-2-t4	down	50000000	f1012467	49179	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.700071	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	88	13404717	2.2%	26.3%	local-recv	57c570d9	no	154	439.4	87814624	0
