# mux-tunnels-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-tunnels-2-t1	down	10000000	b414796d	49159	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.672	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	884	4080548	37.5%	40.7%	local-recv	b414796d	no	6	544.66	127126157	43376993
1	mux-tunnels-2-t1	down	10000000	95839ad0	49160	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	129.67	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	894	3959066	37.9%	39.5%	local-recv	dc5330cf	no	5	358.95	212012686	132604165
1	mux-tunnels-2-t1	down	10000000	f1012467	49161	standby	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	133.052	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	579	1979538	24.6%	19.8%	local-recv	57c570d9	no	9	320.31	12025050	4174385
1	mux-tunnels-2-t1	down	10000000	fdab37dd	49162	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	154.832	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	37	37	-	-	local-recv	7420f415	no	4	317.92	3136	3040
1	mux-tunnels-2-t1	down	10000000	ac40965a	49163	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	383.81	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	37	-	-	local-recv	3de424e0	no	2	489.08	3008	2976
1	mux-tunnels-2-t1	down	10000000	50cdb857	49164	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	193.683048	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	69	69	-	-	local-recv	38288b5a	no	0	804.76	2912	2944
1	mux-tunnels-2-t1	down	10000000	2c4ae7a5	49165	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	268.455538	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	37	37	-	-	local-recv	d0b47ec2	no	2	554.36	2880	2816
1	mux-tunnels-2-t1	down	10000000	d5292c5a	49166	standby	out	d5292c5a>0381dd9ab3ef2c14844ef8be3fbe143c727847a3e5c21814255006e43415f84e1b;43a1b433>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	sudph	237.629717	0381dd9ab3ef2c14844ef8be3fbe143c727847a3e5c21814255006e43415f84e1b	37	37	-	-	local-recv	43a1b433	no	0	504.46	2784	2784
2	mux-tunnels-2-t2	down	10000000	b414796d	49159	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.672	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	3267	4082975	77.1%	40.7%	local-recv	b414796d	no	6	544.66	127126157	43376993
2	mux-tunnels-2-t2	down	10000000	95839ad0	49160	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	129.67	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	973	5938864	22.9%	59.3%	local-recv	dc5330cf	no	5	358.95	212012686	132604165
