# mux-standby-32 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	sent_delta was not a number on 5 carrier line(s); those legs read 0 forward
# note	recv_delta was not a number on 5 carrier line(s); those legs read 0 reverse
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	some transports are in carrier.tsv but not in legs.json or tps.tsv (a group dialled after the snapshot); their carrier/latency/hops/remote_pk read "-"
# note	rev_bytes/rev_share on 19 row(s) are the EXIT's OWN per-leg sent_bytes deltas (rev_basis exit-sent) — the reverse direction measured at the SENDING end
# note	rev_bytes/rev_share on 1 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-standby-32-t1	down	10000000	ebbe12da	49320	standby	out	ebbe12da>03bd764901d9dc1e982eed39634564625bd245f4e56b9dc7f11017c148264d9458;143843a8>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	544.330314	03bd764901d9dc1e982eed39634564625bd245f4e56b9dc7f11017c148264d9458	281	281	-	-	local-recv	143843a8	no	3	267.98	960	992
1	mux-standby-32-t1	down	10000000	475d59a5	49321	standby	out	475d59a5>02b1d9c56928f533ea9b309f8a53ed4807ee4e0193ef3c3a0234033313feceb8f2;99a80e72>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	187.757322	02b1d9c56928f533ea9b309f8a53ed4807ee4e0193ef3c3a0234033313feceb8f2	220	220	-	-	local-recv	99a80e72	no	2	276.58	928	960
2	mux-standby-32-t2	down	10000000	b414796d	49289	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	138.637	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	1293	4751401	36.5%	47.4%	exit-sent	b414796d	no	1	234.26	8638766	3822
2	mux-standby-32-t2	down	10000000	95839ad0	49290	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	127.59	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1331	3685099	37.5%	36.8%	exit-sent	dc5330cf	no	6	234.35	5269988	2788
2	mux-standby-32-t2	down	10000000	7a64a71c	49291	standby	out	7a64a71c>02f0fabacf587c096ca7e38846b16f2617cbeeeca7bd7a06e73b2030f8645dd00f;79a37fb3>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	178.998	02f0fabacf587c096ca7e38846b16f2617cbeeeca7bd7a06e73b2030f8645dd00f	233	0	-	-	exit-sent	79a37fb3	no	0	266.13	1408	1504
2	mux-standby-32-t2	down	10000000	bd6baec7	49292	standby	out	bd6baec7>02090aec59b40207d8662c82e4ecfc524b740c27f2fb98cfb5582833a66bdcb797;cab03f16>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	153.801	02090aec59b40207d8662c82e4ecfc524b740c27f2fb98cfb5582833a66bdcb797	228	0	-	-	exit-sent	cab03f16	no	2	258.56	1472	1472
2	mux-standby-32-t2	down	10000000	582c8788	49293	standby	out	582c8788>039fc26e1088917d070659ecc0a233d96534a28842d996ae9c6531753613db7be0;d1bd7a30>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	245.988	039fc26e1088917d070659ecc0a233d96534a28842d996ae9c6531753613db7be0	329	0	-	-	exit-sent	d1bd7a30	no	2	586.45	1472	1536
2	mux-standby-32-t2	down	10000000	e5faa6e0	49294	standby	out	e5faa6e0>02230b0a96a6f94179fab58196d3dfa1e19070faeae82d6900971462996541e774;47361294>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	151.45	02230b0a96a6f94179fab58196d3dfa1e19070faeae82d6900971462996541e774	217	0	-	-	exit-sent	47361294	no	3	246.98	1504	1472
2	mux-standby-32-t2	down	10000000	b71ddf99	49295	standby	out	b71ddf99>0328947fced4d4b7beb65a6ef60d579e42d7976168c292cbd6d28b5b8bdc85757f;47828219>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	152.605	0328947fced4d4b7beb65a6ef60d579e42d7976168c292cbd6d28b5b8bdc85757f	196	0	-	-	exit-sent	47828219	no	2	253.44	1472	1472
2	mux-standby-32-t2	down	10000000	bf9b0de8	49296	standby	out	bf9b0de8>026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822;c2793bef>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	154.292	026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822	225	0	-	-	exit-sent	c2793bef	no	3	247.93	1504	1472
