# row	tp	sent_delta	recv_delta
6	95839ad0-b588-0b1d-8475-45fba6ae993c	4289967	491587
6	977b7c08-0d61-07e8-bf62-dda7f83ee199	326	326
6	a94550f5-5ffd-06af-a17b-d337af066557	326	326
6	afa66373-ac3e-008f-9820-bd68b46268b8	326	326
6	b414796d-14fc-080e-9ce6-a7162e3e562b	2860307	607376
6	b71ddf99-3454-0def-8e91-03c47857d1a8	334	334
6	bbed733f-4bfc-0f00-aaf7-640b4d9768f1	326	326
6	bd6baec7-62f1-07b1-b830-6d5c61f243f9	329	297
6	bf9b0de8-37e1-09ba-b743-0c529ae98372	334	334
6	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	334	334
6	e5faa6e0-11ed-0add-93c0-3aa6062247a4	334	334
6	ea69bc13-e8f1-0186-934c-13d2dea78583	326	326
6	eaddf8ac-591a-0570-861a-ea1f23b1c038	334	334
6	ebbe12da-5e6c-0a5f-9e08-5a130089fb89	334	339
6	ee5902d2-3332-0649-9f1b-8a2891df65c1	371	371
6	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	334	334
6	legs	49289:b414796d 49290:95839ad0 49291:7a64a71c 49292:bd6baec7 49293:582c8788 49294:e5faa6e0 49295:b71ddf99 49296:bf9b0de8 49297:3ce660ee 49298:ea69bc13 49299:eaddf8ac 49300:696629b6 49301:287b1d97 49302:619865a5 49303:062c57d2 49304:40c0897c 49305:e5f24143 49306:1bda3d87 49308:977b7c08 49309:a94550f5 49310:afa66373 49311:bbed733f 49312:ee5902d2 49313:30f42c30 49314:fc2eaf78 49315:4aa23edc 49316:3e214e29 49317:770b2d43 49318:25b03079 49319:54999ec3 49320:ebbe12da 49321:475d59a5	-
7	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	318	318
7	1bda3d87-bc80-0a7d-af88-bf3b9a6894c4	289	289
7	25b03079-29d6-0ddd-bb94-3d927300fb85	289	289
7	287b1d97-fa6b-0fc8-b6ea-1c3986ce7b10	318	318
7	30f42c30-4c30-067a-ab12-3fda8d1e3c26	318	318
7	3ce660ee-9ef6-0947-b92d-557a6eadfd26	334	326
7	3e214e29-58ea-001b-ad9d-c624471106a1	326	326
7	40c0897c-4f56-0716-a527-ec97a8ef678a	2859834	1607
7	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	289	289
7	4aa23edc-03de-040b-948e-3a8aad0b10ba	329	297
7	54999ec3-58fa-008e-ae0d-1c4f66a6c837	334	334
7	582c8788-2d1c-06e6-933a-f5e6d5fd323b	326	326
7	619865a5-f7d8-0543-bbb7-664ddfc2014e	326	326
7	696629b6-c362-0f0c-addf-1dbaacc9a0cd	326	326
7	770b2d43-c597-0d51-ab0a-ce8c69399b6b	265	265
7	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	225	225
7	95839ad0-b588-0b1d-8475-45fba6ae993c	4289723	494811
7	977b7c08-0d61-07e8-bf62-dda7f83ee199	257	257
7	a94550f5-5ffd-06af-a17b-d337af066557	257	257
7	afa66373-ac3e-008f-9820-bd68b46268b8	257	257
7	b414796d-14fc-080e-9ce6-a7162e3e562b	2860048	609126
7	b71ddf99-3454-0def-8e91-03c47857d1a8	233	233
7	bbed733f-4bfc-0f00-aaf7-640b4d9768f1	284	284
7	bd6baec7-62f1-07b1-b830-6d5c61f243f9	294	294
7	bf9b0de8-37e1-09ba-b743-0c529ae98372	302	302
7	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	265	265
7	e5faa6e0-11ed-0add-93c0-3aa6062247a4	302	302
7	ea69bc13-e8f1-0186-934c-13d2dea78583	257	257
7	eaddf8ac-591a-0570-861a-ea1f23b1c038	257	257
7	ebbe12da-5e6c-0a5f-9e08-5a130089fb89	260	260
7	ee5902d2-3332-0649-9f1b-8a2891df65c1	228	228
7	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	220	220
